Hour,SDR,Buy Price (Rs/kWh),Sell Price (Rs/kWh),Total Sell (kW),Total Buy (kW)
0,0.0,5.875180356786661,5.875180356786661,0.0,4.213404291432749
1,0.0,5.875180356786661,5.875180356786661,0.0,4.300169955645975
2,0.0,5.875180356786661,5.875180356786661,0.0,4.248736243840248
3,0.0,5.875180356786661,5.875180356786661,0.0,4.3333097877246995
4,0.0,5.875180356786661,5.875180356786661,0.0,5.139011948374416
5,0.0,5.875180356786661,5.875180356786661,0.0,7.575296172461581
6,0.0,5.875180356786661,5.875180356786661,0.0,9.870375700846113
7,0.034458803307248854,5.865007387642895,5.719461511702374,0.28934269871520535,8.681823092139533
8,0.5636287339192226,4.6899287885957825,4.153281159868816,3.0776512689917164,5.946207901304914
9,2.98185024736212,3.2462070410990522,3.2462070410990522,10.017378504579579,3.5002068348244615
10,9.046674107671118,3.2462070410990522,3.2462070410990522,17.615500759680337,2.0281867603503763
11,16.70542409117471,3.2462070410990522,3.2462070410990522,22.269393393836296,1.3451748942435922
12,21.70495033241287,3.2462070410990522,3.2462070410990522,22.725195548818434,1.0497841413162072
13,19.53696946505486,3.2462070410990522,3.2462070410990522,21.024512034974936,1.076469966785118
14,15.596238643400676,3.2462070410990522,3.2462070410990522,17.996656468999685,1.1591774288857424
15,8.255859401450223,3.2462070410990522,3.2462070410990522,11.988256398020123,1.496623042538987
16,1.7453196685236374,3.9691943873983324,3.691342213176871,3.999547126966937,2.8463823368732712
17,0.00795337104466164,5.874006686815604,5.8382881394971,0.05210236068240898,11.661869790479296
18,0.0,5.875180356786661,5.875180356786661,0.0,23.964442891176795
19,0.0,5.875180356786661,5.875180356786661,0.0,29.857429556541533
20,0.0,5.875180356786661,5.875180356786661,0.0,31.401475536327624
21,0.0,5.875180356786661,5.875180356786661,0.0,26.074673462646608
22,0.0,5.875180356786661,5.875180356786661,0.0,17.828232552897468
23,0.0,5.875180356786661,5.875180356786661,0.0,10.947346243867571
