Day,Conv (Rs),BS (Rs),MMR (Rs),SDR (Rs),BS Savings (Rs),MMR Savings (Rs),SDR Savings (Rs),BS Savings (%),MMR Savings (%),SDR Savings (%)
1,216.9292957,202.6187375,198.7344038,205.0821089,14.31055819,18.19489197,11.84718682,6.596876713,8.387475701,5.461312535
2,223.5732803,211.2841459,208.236667,214.0728861,12.28913442,15.33661334,9.50039427,5.496691911,6.859770236,4.249342433
3,228.1801428,213.7192213,210.445897,216.9137181,14.46092148,17.73424586,11.2664247,6.337502161,7.772037321,4.937513213
4,224.2233164,209.0918606,204.7054769,210.9910727,15.13145584,19.51783956,13.23224372,6.748386423,8.70464315,5.901368303
5,222.553712,207.6994132,203.9432116,210.3196408,14.85429879,18.61050043,12.23407119,6.674478112,8.36225119,5.497131941
6,235.6958618,218.9098824,216.8233754,222.6588634,16.78597939,18.87248643,13.03699842,7.121881249,8.007135247,5.531280151
7,227.3063209,212.5920572,209.4761314,215.7962993,14.71426372,17.83018953,11.51002163,6.473319202,7.844123936,5.063661047
8,226.3134784,211.5834461,208.0478779,214.3890896,14.73003233,18.2656005,11.92438877,6.5086854,8.070929151,5.268969772
9,229.1066621,214.5837865,211.5985173,218.1521622,14.52287561,17.50814481,10.95449988,6.338914581,7.641918681,4.781397353
10,217.4419387,203.0036744,198.9608965,205.3442832,14.43826427,18.48104214,12.09765546,6.640054976,8.499299744,5.563625642
11,230.4414026,215.5456432,212.0422714,218.5269097,14.89575945,18.39913127,11.91449297,6.464011795,7.984299286,5.170291809
12,225.1230947,210.0633804,206.0369911,212.5145291,15.0597143,19.08610361,12.60856567,6.689546586,8.478074466,5.600742866
13,218.3870954,203.8724452,199.9045385,206.1292172,14.51465024,18.48255688,12.25787821,6.646294835,8.463209261,5.612913251
14,228.12438,212.5924895,209.1309444,215.6021052,15.53189053,18.99343564,12.52227479,6.808518461,8.325912224,5.489231267
15,217.8490563,203.5928705,200.5130618,206.8527022,14.25618586,17.33599455,10.99635417,6.544065924,7.957801075,5.047694195
16,229.4089957,214.6139836,210.5609807,216.9331853,14.79501203,18.84801495,12.47581035,6.449185652,8.215900554,5.438239383
17,222.7979317,207.5933744,203.339317,209.6836231,15.20455725,19.45861465,13.11430861,6.824370915,8.73375013,5.886189568
18,219.200103,204.6890225,201.3062331,207.7741614,14.5110805,17.89386992,11.42594163,6.620015367,8.163257991,5.212562165
19,224.5825839,210.146231,206.5458486,212.9130535,14.43635292,18.03673532,11.66953043,6.428082119,8.031226198,5.196097678
20,220.9672009,206.3430402,203.3706537,209.6544651,14.62416066,17.59654719,11.31273575,6.618249496,7.963420419,5.119644773
21,247.5580574,230.1559145,227.2710391,233.1975748,17.40214287,20.28701827,14.36048252,7.029519883,8.194852751,5.800854423
22,214.4865729,201.7556544,197.8329226,203.1505742,12.73091843,16.65365024,11.33599866,5.935531657,7.764425539,5.285178699
23,233.4410049,218.1926513,214.8220656,221.4206427,15.24835366,18.61893932,12.02036226,6.531994523,7.97586496,5.149207724
24,226.0321057,211.3762306,207.9413622,214.3267829,14.6558751,18.09074352,11.70532286,6.483979369,8.00361677,5.178610719
25,213.8129088,199.5763306,195.5888783,201.9718346,14.23657814,18.22403047,11.84107414,6.658427795,8.523353701,5.538053905
26,215.2048932,201.1368415,197.5039526,203.8422749,14.06805172,17.70094061,11.36261833,6.537050117,8.225157127,5.279907049
27,226.8986913,212.278641,208.6924729,215.1124456,14.62005032,18.20621843,11.78624564,6.443426465,8.023941579,5.194496969
28,226.1920298,211.71969,208.066636,214.4936304,14.47233985,18.12539388,11.69839943,6.398253669,8.013276989,5.171888433
29,231.2111746,216.259777,212.8292095,219.2633396,14.95139752,18.38196511,11.94783494,6.466554892,7.95029269,5.167498915
30,218.0513028,203.2442981,198.9869158,205.223933,14.80700471,19.06438704,12.82736979,6.790605934,8.743074127,5.882730174
